#  plate  mjd fiber
5113 55924 738
5113 55924 726
5113 55924 730
5113 55924 776
5113 55924 778
5113 55924 200
5113 55924 814
5113 55924 854
5113 55924 858
5113 55924 892
5113 55924 100
5113 55924 72
5115 55885 758
5115 55885 802
5115 55885 842
5115 55885 828
5115 55885 846
5115 55885 832
5107 55940 502
5115 55885 888
5107 55940 521
5115 55885 882
5115 55885 928
5107 55940 533
5107 55940 568
5115 55885 921
5107 55940 606
5107 55940 562
5107 55940 570
5107 55940 604
5107 55940 642
5107 55940 602
5115 55885 952
5115 55885 982
5115 55885 945
5107 55940 611
5107 55940 650
5107 55940 648
5107 55940 645
5115 55885 988
5107 55940 654
5107 55940 684
5107 55940 766
5107 55940 812
5107 55940 854
5107 55940 890
5107 55940 856
5109 55892 490
5109 55892 536
5107 55940 898
5109 55892 511
5107 55940 938
5109 55892 534
5107 55940 932
5109 55892 577
5107 55940 980
5107 55940 40
5109 55892 332
5109 55892 374
5109 55892 376
5109 55892 289
5109 55892 297
5109 55892 282
5109 55892 216
5109 55892 218
5109 55892 152
5109 55892 154
5109 55892 151
5109 55892 150
5109 55892 144
5109 55892 24
5108 55888 702
5109 55892 30
5109 55892 70
5109 55892 38
5108 55888 704
5108 55888 742
5109 55892 29
5112 55895 488
5109 55892 4
5112 55895 465
5112 55895 464
5112 55895 462
5108 55888 822
5112 55895 444
5112 55895 400
5112 55895 416
5112 55895 402
5108 55888 864
5112 55895 405
5108 55888 966
5112 55895 362
5112 55895 366
5112 55895 317
5112 55895 324
5112 55895 283
5112 55895 200
5112 55895 199
5112 55895 240
5112 55895 196
5111 55840 588
5112 55895 176
5112 55895 96
5112 55895 94
5111 55840 712
5111 55840 758
5112 55895 54
5111 55840 839
5111 55840 797
5111 55840 787
5111 55840 838
5111 55840 868
5111 55840 877
5114 55883 448
5111 55840 918
5114 55883 444
5113 55924 548
5113 55924 560
5113 55924 558
5114 55883 405
5114 55883 363
5113 55924 592
5111 55840 984
5113 55924 640
5114 55883 298
5114 55883 243
5113 55924 724
5114 55883 209
5113 55924 762
5114 55883 122
5113 55924 847
5113 55924 802
5113 55924 810
5113 55924 843
5113 55924 846
5113 55924 844
5113 55924 934
5113 55924 898
5113 55924 926
5113 55924 925
5113 55924 996
5113 55924 998
5107 55940 760
5107 55940 794
5107 55940 792
5107 55940 838
5107 55940 840
5107 55940 848
5107 55940 842
5107 55940 850
5107 55940 920
5109 55892 528
5107 55940 964
5109 55892 608
5109 55892 564
5109 55892 610
5109 55892 612
5109 55892 616
5109 55892 690
5109 55892 648
5109 55892 692
5109 55892 740
5109 55892 688
5109 55892 681
5109 55892 722
5109 55892 894
5109 55892 852
5109 55892 938
5109 55892 977
5109 55892 998
5112 55895 539
5112 55895 480
5112 55895 652
5112 55895 458
5112 55895 454
5112 55895 420
5112 55895 380
5112 55895 408
5112 55895 336
5112 55895 300
5112 55895 334
5112 55895 288
5112 55895 292
5112 55895 112
5112 55895 110
5112 55895 109
5111 55840 745
5112 55895 28
5112 55895 30
5111 55840 782
5112 55895 4
5112 55895 6
5114 55883 482
5111 55840 862
5114 55883 462
5114 55883 487
5114 55883 450
5111 55840 908
5114 55883 338
5113 55924 584
5113 55924 631
5114 55883 334
5113 55924 636
5113 55924 624
5114 55883 246
5114 55883 258
5114 55883 252
5113 55924 708
5113 55924 758
5113 55924 799
5114 55883 140
5113 55924 834
5114 55883 86
5113 55924 837
5114 55883 87
5114 55883 42
5113 55924 912
5113 55924 932
5113 55924 914
5109 55892 836
5109 55892 845
5109 55892 849
5109 55892 884
5109 55892 924
5112 55895 515
5112 55895 508
5112 55895 509
5109 55892 973
5109 55892 971
5112 55895 524
5112 55895 532
5112 55895 694
5112 55895 685
5112 55895 696
5112 55895 699
5112 55895 736
5112 55895 776
5112 55895 842
5112 55895 896
5112 55895 895
5112 55895 938
5112 55895 976
5112 55895 18
5114 55883 490
5114 55883 478
5114 55883 422
5114 55883 392
5114 55883 390
5114 55883 303
5114 55883 308
5114 55883 278
5114 55883 264
5113 55924 676
5114 55883 239
5114 55883 186
5114 55883 184
5113 55924 750
5113 55924 746
5113 55924 782
5114 55883 132
5114 55883 141
5114 55883 146
5114 55883 108
5113 55924 832
5114 55883 138
5114 55883 100
5114 55883 52
5109 55892 874
5109 55892 920
5109 55892 902
5109 55892 916
5112 55895 760
5112 55895 758
5112 55895 840
5112 55895 878
5112 55895 883
5112 55895 908
5112 55895 922
5112 55895 964
5112 55895 987
5114 55883 538
5114 55883 540
5114 55883 620
5114 55883 694
5114 55883 696
5114 55883 698
5114 55883 318
5114 55883 225
5114 55883 183
5114 55883 149
5109 55892 168
5108 55888 548
5108 55888 541
5108 55888 840
5112 55895 382
5112 55895 386
5112 55895 390
5112 55895 381
5108 55888 924
5112 55895 308
5108 55888 942
5112 55895 244
5111 55840 532
5111 55840 521
5112 55895 184
5108 55888 991
5111 55840 566
5111 55840 568
5112 55895 182
5111 55840 606
5111 55840 612
5111 55840 700
5111 55840 688
5111 55840 734
5111 55840 732
5111 55840 764
5111 55840 774
5111 55840 770
5111 55840 780
5111 55840 802
5111 55840 860
5111 55840 896
5111 55840 900
5113 55924 503
5113 55924 510
5113 55924 614
5113 55924 658
5113 55924 660
5113 55924 692
5113 55924 318
5113 55924 646
5113 55924 688
5113 55924 280
5113 55924 276
5113 55924 278
5113 55924 273
5113 55924 240
5113 55924 236
5113 55924 154
5113 55924 129
5113 55924 130
5113 55924 98
5113 55924 80
5113 55924 62
5109 55892 294
5109 55892 290
5108 55888 824
5112 55895 356
5112 55895 354
5112 55895 352
5108 55888 962
5112 55895 250
5112 55895 314
5112 55895 258
5112 55895 234
5112 55895 260
5111 55840 543
5111 55840 596
5111 55840 594
5112 55895 192
5111 55840 638
5112 55895 174
5112 55895 170
5112 55895 121
5111 55840 670
5112 55895 86
5111 55840 708
5112 55895 88
5112 55895 42
5111 55840 790
5111 55840 798
5111 55840 800
5111 55840 795
5111 55840 750
5111 55840 766
5111 55840 843
5111 55840 801
5111 55840 840
5111 55840 792
5111 55840 836
5111 55840 880
5111 55840 888
5111 55840 886
5111 55840 924
5113 55924 538
5111 55840 928
5113 55924 564
5111 55840 985
5111 55840 987
5113 55924 613
5111 55840 994
5113 55924 608
5113 55924 618
5111 55840 990
5113 55924 620
5113 55924 648
5113 55924 656
5113 55924 685
5113 55924 686
5113 55924 698
5113 55924 696
5113 55924 736
5113 55924 722
5113 55924 770
5113 55924 768
5113 55924 857
5113 55924 852
5113 55924 850
5113 55924 856
5113 55924 860
5113 55924 896
5113 55924 974
5113 55924 970
5113 55924 34
5109 55892 780
5109 55892 776
5109 55892 296
5109 55892 148
5109 55892 116
5109 55892 891
5109 55892 120
5112 55895 450
5112 55895 476
5112 55895 452
5112 55895 412
5112 55895 378
5112 55895 446
5112 55895 376
5112 55895 286
5112 55895 284
5112 55895 266
5112 55895 268
5112 55895 206
5112 55895 207
5111 55840 622
5112 55895 150
5112 55895 104
5112 55895 102
5112 55895 98
5111 55840 718
5111 55840 714
5112 55895 64
5112 55895 61
5112 55895 52
5111 55840 784
5114 55883 452
5111 55840 870
5111 55840 957
5114 55883 408
5113 55924 551
5114 55883 370
5114 55883 376
5114 55883 416
5113 55924 553
5114 55883 378
5114 55883 332
5114 55883 340
5114 55883 300
5114 55883 288
5114 55883 241
5114 55883 259
5113 55924 709
5114 55883 210
5113 55924 848
5114 55883 128
5114 55883 129
5113 55924 838
5113 55924 882
5113 55924 883
5113 55924 888
5113 55924 964
5113 55924 988
5109 55892 770
5109 55892 772
5109 55892 774
5109 55892 764
5109 55892 892
5112 55895 618
5112 55895 614
5112 55895 620
5112 55895 646
5112 55895 656
5112 55895 692
5112 55895 738
5112 55895 298
5112 55895 214
5112 55895 115
5112 55895 74
5112 55895 10
5112 55895 5
5112 55895 14
5114 55883 496
5114 55883 440
5114 55883 344
5113 55924 630
5113 55924 585
5114 55883 330
5113 55924 672
5114 55883 266
5114 55883 223
5113 55924 702
5113 55924 706
5114 55883 254
5114 55883 226
5113 55924 704
5113 55924 710
5114 55883 220
5113 55924 760
5113 55924 744
5114 55883 180
5113 55924 797
5113 55924 786
5114 55883 134
5114 55883 136
5114 55883 82
5114 55883 131
5114 55883 95
5114 55883 98
5113 55924 864
5113 55924 866
5113 55924 920
5113 55924 916
5114 55883 48
5113 55924 905
5113 55924 948
5113 55924 958
5113 55924 942
5113 55924 984
5109 55892 878
5109 55892 880
5112 55895 603
5112 55895 635
5112 55895 648
5112 55895 680
5112 55895 720
5112 55895 724
5112 55895 804
5112 55895 810
5112 55895 844
5112 55895 884
5112 55895 928
5112 55895 934
5114 55883 470
5114 55883 574
5114 55883 435
5114 55883 578
5114 55883 400
5114 55883 356
5114 55883 320
5114 55883 312
5114 55883 262
5114 55883 272
5114 55883 280
5114 55883 276
5114 55883 232
5114 55883 228
5114 55883 192
5114 55883 188
5114 55883 152
5114 55883 194
5114 55883 200
5114 55883 142
5114 55883 143
5114 55883 775
5114 55883 812
5131 55835 666
5131 55835 716
5132 55858 418
5131 55835 757
5131 55835 790
5139 55866 206
5139 55866 209
5138 55830 924
5138 55830 914
5139 55866 86
5139 55866 100
5140 55836 506
5138 55830 913
5138 55830 960
5138 55830 964
5140 55836 522
5140 55836 562
5140 55836 572
5140 55836 642
5140 55836 654
5140 55836 724
5140 55836 730
5140 55836 728
5140 55836 764
5140 55836 802
5140 55836 774
5140 55836 806
5140 55836 808
5140 55836 810
5140 55836 804
5140 55836 846
5140 55836 890
5137 55833 507
5137 55833 510
5137 55833 512
5140 55836 900
5137 55833 530
5137 55833 534
5137 55833 526
5140 55836 936
5140 55836 930
5140 55836 974
5140 55836 986
5140 55836 994
5140 55836 988
5137 55833 700
5137 55833 736
5137 55833 730
5137 55833 734
5137 55833 272
5137 55833 280
5137 55833 278
5137 55833 240
5137 55833 200
5137 55833 813
5137 55833 160
5137 55833 79
5137 55833 80
5137 55833 78
5130 55835 436
5137 55833 20
5137 55833 18
5130 55835 304
5130 55835 308
5130 55835 274
5130 55835 268
5130 55835 272
5130 55835 238
5130 55835 223
5130 55835 184
5130 55835 192
5130 55835 118
5130 55835 108
5130 55835 78
5123 55841 427
5123 55841 426
5130 55835 32
5130 55835 8
5123 55841 346
5123 55841 303
5123 55841 309
5123 55841 301
5123 55841 299
5123 55841 258
5123 55841 230
5123 55841 173
5123 55841 170
5123 55841 180
5123 55841 178
5123 55841 132
5119 55836 297
5119 55836 296
5119 55836 250
5119 55836 260
5119 55836 212
5119 55836 214
5119 55836 210
5119 55836 206
5119 55836 174
5119 55836 128
5119 55836 129
5119 55836 86
5119 55836 94
5119 55836 50
5119 55836 52
5132 55858 350
5131 55835 800
5139 55866 254
5139 55866 256
5139 55866 218
5138 55830 870
5139 55866 172
5138 55830 876
5139 55866 168
5139 55866 164
5139 55866 180
5139 55866 132
5139 55866 140
5138 55830 902
5139 55866 136
5138 55830 906
5139 55866 82
5140 55836 546
5139 55866 96
5139 55866 42
5139 55866 50
5139 55866 58
5139 55866 52
5136 55836 446
